pregunta,opciones,respuesta_correcta,dificultad,puntaje
¿Cuál es el nombre real de Spider-Man?,Clark Kent|Bruce Wayne|Peter Parker|Tony Stark,Peter Parker,fácil,2
¿Qué superhéroe tiene un escudo con una estrella en el centro?,Capitán América|Iron Man|Thor|Hulk,Capitán América,fácil,2
¿Qué superhéroe puede volar y lanza rayos láser con los ojos?,Flash|Superman|Batman|Deadpool,Superman,fácil,2
¿Qué superhéroe tiene un martillo llamado Mjolnir?,Hulk|Thor|Iron Man|Ant-Man,Thor,fácil,2
¿Cuál de estos superhéroes es verde y muy fuerte cuando se enoja?,Hulk|Doctor Strange|Spider-Man|Black Panther,Hulk,fácil,2
¿Qué superheroína lleva un lazo mágico y es una amazona?,Black Widow|Wonder Woman|Jean Grey|Storm,Wonder Woman,fácil,2
¿Cuál de estos personajes usa un traje con tecnología avanzada?,Iron Man|Wolverine|Aquaman|Robin,Iron Man,fácil,2
¿Qué metal ficticio compone el escudo del Capitán América?,Vibranium|Adamantium|Kryptonita|Carbonita,Vibranium,normal,5
¿Cuál es el nombre del alter ego de Batman?,Steve Rogers|Bruce Banner|Bruce Wayne|Clark Kent,Bruce Wayne,normal,5
¿Quién lidera el equipo X-Men en muchas versiones?,Magneto|Wolverine|Cíclope|Bestia,Cíclope,normal,5
¿Qué villano es conocido como el archienemigo del Hombre Araña?,Loki|Thanos|Venom|Ultron,Venom,normal,5
¿Qué actriz interpreta a la Viuda Negra en el Universo Cinematográfico de Marvel?,Gal Gadot|Scarlett Johansson|Natalie Portman|Brie Larson,Scarlett Johansson,normal,5
¿Qué héroe de DC puede correr más rápido que la luz?,Flash|Superman|Cyborg|Robin,Flash,normal,5
¿Qué personaje de Marvel puede hacerse gigante o diminuto?,Spider-Man|Ant-Man|Wasp|Beetle,Ant-Man,normal,5
¿Cuál es el verdadero nombre de Black Panther?,T’Challa|M’Baku|N’Jadaka|Okoye,T’Challa,difícil,10
¿Cómo se llama el martillo que empuña Jane Foster en Thor: Love and Thunder?,Stormbreaker|Mjolnir|Thunderfang|Runehammer,Mjolnir,difícil,10
¿Qué superhéroe aparece por primera vez en Amazing Fantasy #15?,Iron Man|Spider-Man|Doctor Strange|Daredevil,Spider-Man,difícil,10
¿Qué villano de DC es conocido como 'el príncipe payaso del crimen'?,Enigma|Joker|Bane|Deathstroke,Joker,difícil,10
¿Qué nombre adopta Wanda Maximoff en los cómics?,The Enchantress|Red Witch|Scarlet Witch|Dark Phoenix,Scarlet Witch,difícil,10
¿Quién fue el primer Vengador según la cronología del UCM?,Iron Man|Hulk|Capitán América|Thor,Capitán América,difícil,10
¿Qué villano creó a Ultron en los cómics?,Tony Stark|Bruce Banner|Hank Pym|Reed Richards,Hank Pym,difícil,10
